report_year,report_week,district,disease,category,cases,source_pdf,uid
2018,12,Sindhudurg,Malaria,vector-borne,12,122018.pdf,MH/SIN/2018/12/364
2018,13,Bhandara,Japanese encephalitis,vector-borne,9,132018.pdf,MH/BNR/2018/13/401
2018,13,Jalna,Measles,air-borne,12,132018.pdf,MH/JLN/2018/13/404
2018,13,Ratnagiri,Measles,air-borne,9,132018.pdf,MH/RTG/2018/13/387
2018,14,Hingoli,Dengue,vector-borne,17,142018.pdf,MH/HIN/2018/14/445
2018,17,Akola,Cholera,water-borne,13,172018.pdf,MH/AKL/2018/17/581
2018,17,Jalna,Dengue,vector-borne,18,172018.pdf,MH/JLN/2018/17/582
2018,18,Ahilyanagar,Dengue,vector-borne,16,182018.pdf,MH/AMN/2018/18/622
2018,20,Dharashiv,Dengue,vector-borne,11,202018.pdf,MH/OSM/2018/20/665
2018,20,Nashik,Chikungunya,vector-borne,66,202018.pdf,MH/NAS/2018/20/687
2018,22,Jalgaon,Measles,air-borne,15,222018.pdf,MH/JGA/2018/22/745
2018,22,Kolhapur,Chikungunya,vector-borne,9,222018.pdf,MH/KOP/2018/22/765
2018,23,Satara,Chikungunya,vector-borne,9,93428147651531734413.pdf,MH/STA/2018/23/814
2018,24,Akola,Measles,air-borne,6,242018.pdf,MH/AKL/2018/24/841
2018,24,Gadchiroli,Malaria,vector-borne,39,242018.pdf,MH/GAD/2018/24/857
2018,24,Sangli,Dengue,vector-borne,14,242018.pdf,MH/SGL/2018/24/856
2018,25,Kolhapur,Dengue,vector-borne,5,252018.pdf,MH/KOP/2018/25/904
2018,25,Solapur,Dengue,vector-borne,7,252018.pdf,MH/SHO/2018/25/905
2018,26,Amravati,Cholera,water-borne,27,262018.pdf,MH/AMR/2018/26/925
2018,26,Palghar,Dengue,vector-borne,10,262018.pdf,MH/PLR/2018/26/927
2018,27,Kolhapur,Dengue,vector-borne,69,272018.pdf,MH/KOP/2018/27/978
2018,27,Nashik,Chikungunya,vector-borne,137,272018.pdf,MH/NAS/2018/27/979
2018,27,Pune,Chikungunya,vector-borne,18,272018.pdf,MH/PNE/2018/27/981
2018,27,Sangli,Dengue,vector-borne,10,272018.pdf,MH/SGL/2018/27/982
2018,27,Satara,Dengue,vector-borne,26,272018.pdf,MH/STA/2018/27/983
2018,28,Kolhapur,HFMD,air-borne,11,282018.pdf,MH/KOP/2018/28/1004
2018,29,Chandrapur,Dengue,vector-borne,35,292018.pdf,MH/CND/2018/29/1072
2018,29,Chandrapur,Dengue,vector-borne,77,292018.pdf,MH/CND/2018/29/1075
2018,29,Gadchiroli,Malaria,vector-borne,15,292018.pdf,MH/GAD/2018/29/1034
2018,29,Nashik,Chikungunya,vector-borne,28,292018.pdf,MH/NAS/2018/29/1035
2018,29,Sangli,Dengue,vector-borne,13,292018.pdf,MH/SGL/2018/29/1076
2018,31,Nashik,Chikungunya,vector-borne,73,312018.pdf,MH/NAS/2018/31/1137
2018,35,Chhatrapati Sambhajinagar,Dengue,vector-borne,4,352018.pdf,MH/AGB/2018/35/1204
2018,35,Satara,Chikungunya,vector-borne,7,352018.pdf,MH/STA/2018/35/1206
2018,35,Satara,Chikungunya,vector-borne,7,352018.pdf,MH/STA/2018/35/1221
2018,35,Satara,Dengue,vector-borne,13,352018.pdf,MH/STA/2018/35/1222
2018,40,Beed,Dengue,vector-borne,10,402018.pdf,MH/BED/2018/40/1329
2018,40,Pune,Chikungunya,vector-borne,33,402018.pdf,MH/PNE/2018/40/1337
2018,40,Pune,Dengue,vector-borne,51,402018.pdf,MH/PNE/2018/40/1338
2018,40,Satara,Chikungunya,vector-borne,16,402018.pdf,MH/STA/2018/40/1340
2018,40,Satara,Dengue,vector-borne,39,402018.pdf,MH/STA/2018/40/1341
2018,40,Wardha,Dengue,vector-borne,62,402018.pdf,MH/WDH/2018/40/1343
2018,41,Amravati,Measles,air-borne,13,412018.pdf,MH/AMR/2018/41/1357
2018,44,Ahilyanagar,Rubella,air-borne,13,442018.pdf,MH/AMN/2018/44/1424
2018,44,Amravati,Dengue,vector-borne,17,442018.pdf,MH/AMR/2018/44/1427
2018,46,Beed,Dengue,vector-borne,12,462018.pdf,MH/BED/2018/46/1476
2018,46,Nagpur,Dengue,vector-borne,15,462018.pdf,MH/NAG/2018/46/1490
2018,46,Nagpur,Dengue,vector-borne,18,462018.pdf,MH/NAG/2018/46/1492
2018,46,Nagpur,Dengue,vector-borne,52,462018.pdf,MH/NAG/2018/46/1493
2018,46,Solapur,Dengue,vector-borne,16,462018.pdf,MH/SHO/2018/46/1495
2018,46,Solapur,Dengue,vector-borne,7,462018.pdf,MH/SHO/2018/46/1496
2018,46,Yavatmal,Measles,air-borne,6,462018.pdf,MH/YVT/2018/46/1497
2018,47,Nashik,Chikungunya,vector-borne,30,472018.pdf,MH/NAS/2018/47/1515
2018,47,Nashik,Dengue,vector-borne,14,472018.pdf,MH/NAS/2018/47/1514
2018,48,Akola,Dengue,vector-borne,14,482018.pdf,MH/AKL/2018/48/1524
